name	singer	title	sex	url	year	singer_sex
יעלה	אבי אוחיון	לא תמיד נכון_69	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=9746&wrkid=40178	0	male
אן	אבי אוחיון	לאן הגענו_70	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=9746&wrkid=42899	0	male
אן	אבי אוחיון	לאן הגענו_71	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=9746&wrkid=42988	0	male
לבנה	אבי אוחיון	לבדי_72	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=9746&wrkid=36360	0	male
ליבי	אבי אוחיון	לבדי_72	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=9746&wrkid=36360	0	male
שחר	אבי אוחיון	לבדי_72	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=9746&wrkid=36360	0	male
יעלה	אבי אוחיון	לבדי_72	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=9746&wrkid=36360	0	male
ליבי	אבי אוחיון	מודה אני_80	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=9746&wrkid=38071	0	male
אבי	אבי אוחיון	מודה אני_80	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=9746&wrkid=38071	0	male
אמי	אבי אוחיון	מודה אני_80	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=9746&wrkid=38071	0	male
ליבי	אבי אוחיון	מודה אני_81	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=9746&wrkid=39498	0	male
אבי	אבי אוחיון	מודה אני_81	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=9746&wrkid=39498	0	male
אמי	אבי אוחיון	מודה אני_81	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=9746&wrkid=39498	0	male
בר	אבי אוחיון	מלכה של השכונה_85	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=9746&wrkid=43334	0	male
אלינור	אבי אוחיון	משיח_86	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=9746&wrkid=41034	0	male
אהובה	אבי אוחיון	סיפור ישן_90	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=9746&wrkid=44165	0	male
אהובה	אבי אוחיון	סיפור ישן_91	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=9746&wrkid=45100	0	male
בר	אבי אוחיון	סתם ככה_93	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=9746&wrkid=46335	0	male
בר	אבי אוחיון	סתם ככה_93	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=9746&wrkid=46335	0	male
אבי	אבי אוחיון	פלאברה_101	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=9746&wrkid=46126	0	male
יפה	אבי אוחיון	קוסמוי_104	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=9746&wrkid=46334	0	male
יפה	אבי אוחיון	קטנה_105	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=9746&wrkid=43319	0	male
אן	אבי אוחיון	רק אהבה מדברת_110	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=9746&wrkid=46742	0	male
בר	אבי אוחיון	שורף אותי_115	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=9746&wrkid=45776	0	male
אור	אבי אוחיון	שורף אותי_115	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=9746&wrkid=45776	0	male
ליבי	אבי אוחיון	שירת מלאכים_117	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=9746&wrkid=36381	0	male
גלי	אבי אוחיון	שקיעה חרישית_122	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=9746&wrkid=40925	0	male
יפה	אבי אוחיון	תרקדי_131	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=9746&wrkid=45774	0	male
אלי	אבי אוחיון	תתחיל להתעורר_132	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=9746&wrkid=42084	0	male
אלי	אבי אוחיון	תתחילי להתעורר_133	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=9746&wrkid=42491	0	male
מזל	אבי אזיקרי	הכל או כלום_2	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=3377&wrkid=12500	0	
אושר	אבי אזיקרי	תרקדי_9	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=3377&wrkid=10633	0	
רותי	אבי אילות	אבי אילות_1	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=14152&wrkid=32538	0	
סוניה	אבי אילות	אבי אילות_1	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=14152&wrkid=32538	0	
דנה	אבי אילות	אבי אילות_1	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=14152&wrkid=32538	0	
ליבי	אבי אילות	חיילים של אהבה_2	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=14152&wrkid=37738	0	
אליה	אבי אלוס	אהבתיה שבעתיים_1	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=4480&wrkid=14136	0	
שחר	אבי אמינוב	לחלום_1	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=13725&wrkid=33267	0	
אריאל	אבי אשכנזי	ארבעה ראפרים_1	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=2475&wrkid=26853	0	male
נועם	אבי אשכנזי	ארבעה ראפרים_1	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=2475&wrkid=26853	0	male
אבי	אבי אשכנזי	זה לא קשה_2	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=2475&wrkid=15915	0	male
אן	אבי אשכנזי	שומו שמיים_3	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=2475&wrkid=7737	0	male
לבנה	אבי אתדגי	בלעדייך _1	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=8352&wrkid=18801	0	
ליבי	אבי ביטר	אל תתאהבי_5	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1145&wrkid=5150	0	male
אלי	אבי ביטר	בלעדייך מאושר_12	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1145&wrkid=11387	0	male
ליבי	אבי ביטר	גורל האוהבים_14	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1145&wrkid=13336	0	male
בר	אבי ביטר	דרויש_17	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1145&wrkid=14378	0	male
ליבי	אבי ביטר	הבגידה_21	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1145&wrkid=9368	0	male
יפה	אבי ביטר	הולך ומסתבך_22	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1145&wrkid=14379	0	male
ליבי	אבי ביטר	חבר ואח_27	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1145&wrkid=9453	0	male
ליבי	אבי ביטר	לא משחק עם הלב_32	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1145&wrkid=6676	0	male
מאיה	אבי ביטר	מאיה_35	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1145&wrkid=8160	0	male
אן	אבי ביטר	מלא עוד כוס חבר_41	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1145&wrkid=8161	0	male
לילי	אבי ביטר	מלא עוד כוס חבר_41	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1145&wrkid=8161	0	male
ליבי	אבי ביטר	צל עץ תמר_49	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1145&wrkid=2700	0	male
שרית	אבי ביטר	שרית_52	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1145&wrkid=13554	0	male
באר	אבי בללי	היא_4	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1336&wrkid=4069	0	male
פרידה	אבי בללי	משחק של דמעות_15	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1336&wrkid=4035	0	male
אן	אבי בללי	שמיים_20	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1336&wrkid=12838	0	male
ארנה	אבי בלקין	לחיות מאהבה_1	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=9441&wrkid=20061	0	
ליבי	אבי בן אבו	היא יושבה לחלון_3	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=12978&wrkid=1058	0	male
רחלה	אבי בן אבו	היא יושבה לחלון_3	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=12978&wrkid=1058	0	male
אנה	אבי בן אבו	היא יושבה לחלון_3	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=12978&wrkid=1058	0	male
בר	אבי בן דב	כמה ילד_1	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1874&wrkid=5797	0	
יפה	אבי בן חמו	יודעת לאהוב_1	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=14834&wrkid=34011	0	
אושר	אבי בן חמו	יודעת לאהוב_1	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=14834&wrkid=34011	0	
אן	אבי בן ישראל	אני העבד_2	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=3750&wrkid=11861	0	
